step,train_loss
1,0.6759
20,0.6838
40,0.6119
60,0.2957
80,0.1126
100,0.0292
120,0.0204
140,0.0174
160,0.0064
180,0.0101
200,0.0053
220,0.001
240,0.0007
260,0.0102
280,0.0011
300,0.0003
320,0.0078
340,0.0118
360,0.0081
380,0.0145
400,0.017
420,0.0067
440,0.0158
460,0.0011
480,0.0018
500,0.0155
520,0.023
540,0.0118
560,0.0321
580,0.0132
600,0.0313
620,0.0218
640,0.0013
660,0.0543
680,0.0362
700,0.0181
720,0.0537
740,0.0192
760,0.0294
780,0.0435
800,0.0147
820,0.0123
840,0.0455
860,0.0361
880,0.0023
900,0.0002
920,0.0289
940,0.0241
960,0.0953
980,0.0625
1000,0.0377
1020,0.0271
1040,0.0963
1060,0.1295
1080,0.0398
1100,0.041
1120,0.044
1140,0.0492
1160,0.8126
1180,0.2491
1200,0.0275
1220,0.0588
1240,0.0451
1260,0.0305
1280,0.0463
1300,0.0342
1320,0.051
1340,0.0219
1360,0.0431
1380,0.0585
1400,0.068
1420,0.0205
1440,0.0325
1460,0.0107
1480,0.0112
1500,0.0013
1520,0.0149
1540,0.001
1560,0.0006
1580,0.0129
1600,0.0234
1620,0.013
1640,0.0127
1660,0.001
1680,0.0117
1700,0.0767
1720,0.074
1740,0.0544
1760,0.0355
1780,0.0602
1800,0.0131
1820,0.0309
1840,0.0207
1860,0.0428
1880,0.0229
1900,0.0272
1920,0.0455
1940,0.0101
1960,0.0135
1980,0.1075
2000,0.0334
2020,0.0227
2040,0.01
2060,0.0131
2080,0.0187
2100,0.0281
2120,0.0353
2140,0.0211
2160,0.0015
2180,0.0506
2200,0.0361
2220,0.0415
2240,0.0158
2260,0.0015
2280,0.0432
2300,0.0139
2320,0.0115
2340,0.0117
2360,0.0147
2380,0.0117
2400,0.0228
2420,0.0021
2440,0.0294
2460,0.0213
2480,0.021
2500,0.0024
2520,0.0268
2540,0.0205
2560,0.0545
2580,0.0201
2600,0.0296
2620,0.0369
2640,0.0401
2660,0.0334
2680,0.0185
2700,0.0316
2720,0.0029
2740,0.012
2760,0.0257
2780,0.0127
2800,0.0366
2820,0.0052
2840,0.0189
2860,0.035
2880,0.031
2900,0.0403
2920,0.0038
2940,0.0118
2960,0.0463
2980,0.0521
3000,0.0173
3020,0.0103
3040,0.0382
3060,0.0231
3080,0.003
3100,0.0193
3120,0.0115
3140,0.0297
3160,0.003
3180,0.0201
3200,0.0201
3220,0.0116
3240,0.0119
3260,0.0105
3280,0.0017
3300,0.0307
3320,0.0195
3340,0.0419
3360,0.0195
3380,0.0117
3400,0.0198
3420,0.0432
3440,0.0372
3460,0.0394
3480,0.0292
3500,0.0241
3520,0.0144
3540,0.0234
3560,0.0229
3580,0.0031
3600,0.0124
3620,0.0017
3640,0.012
3660,0.0014
3680,0.0108
3700,0.0329
3720,0.0014
3740,0.0113
3760,0.0218
3780,0.0214
3800,0.0016
3820,0.0448
3840,0.0019
3860,0.0067
3880,0.0017
3900,0.0108
3920,0.0055
3940,0.0013
3960,0.0221
3980,0.0236
4000,0.0227
4020,0.0467
4040,0.012
4060,0.0209
4080,0.0022
4100,0.0205
4120,0.0312
4140,0.0215
4160,0.0205
4180,0.0025
4200,0.0022
4220,0.0111
4240,0.0214
4260,0.0306
4280,0.0395
4300,0.0204
4320,0.0384
4340,0.0217
4360,0.0271
4380,0.0545
4400,0.0282
4420,0.0115
4440,0.0266
4460,0.0291
4480,0.0033
4500,0.011
4520,0.0287
4540,0.0344
4560,0.0103
4580,0.0303
4600,0.0263
4620,0.0032
4640,0.0197
4660,0.0114
4680,0.0209
4700,0.0109
4720,0.0211
4740,0.0376
4760,0.0358
4780,0.0119
4800,0.0207
4820,0.0243
4840,0.0378
4860,0.0267
4880,0.028
4900,0.0183
4920,0.0242
4940,0.0118
4960,0.0104
4980,0.0315
5000,0.0065
5020,0.0152
5040,0.0191
